CISQ identifier,Descriptor,Remediation
ASCSM-CWE-22 ,Improper path traversal,"Remove instances where a user input is ultimately used in a file path creation statement, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, subroutines, etc.) of the user input value between the user input and the statement"
ASCSM-CWE-78,OS command injection,"Remove instances where a user input is ultimately used to execute an OS command, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement. "
ASCSM-CWE-79,Cross-site scripting,"Remove instances where a user input is ultimately displayed to the user, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement.   "
ASCSM-CWE-89,SQL injection,"Remove instances where a user input is ultimately used in a SQL statement, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement. "
ASCSM-CWE-99,Unsanitized user input used to access a named resource ,"Remove instances where a user input is ultimately used to access a resource by name, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement."
ASCSM-CWE-120,Buffer overflow,Remove instances where the content of the first buffer is moved into the content of the second buffer while their allocated sizes are incompatible 
ASCSM-CWE-129,Unchecked array index range,"Remove instances where a user input is ultimately used in a ‘Read’ or ‘Write’ access to an array, without any range check between the user input and the array access."
ASCSM-CWE-134,Improper format string neutralization ,"Remove instances where a user input is ultimately used in a formatting statement, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement."
ASCSM-CWE-252-resource,Unchecked return parameter from resource handling operations ,"Remove instances where the function, method, procedure, stored procedure, sub-routine, etc. reads, writes, or manages an external resource, yet the value of the return code is not checked anywhere"
ASCSM-CWE-327,Unvetted cryptographic algorithms,Remove instances where the application uses a cryptographic list which is not part of the list of vetted cryptographic libraries. 
ASCSM-CWE-396,Catch of overly broad exception types ,"Remove instances where the function, method, procedure, stored procedure, sub-routine, etc. contains a catch which declares to catch an exception whose type is part of a list of overly broad exception types "
ASCSM-CWE-397,Throw of overly broad exception types,"Remove instances where the function, method, procedure, stored procedure, sub-routine, etc. throws an exception whose type is part of a list of overly broad exception types"
ASCSM-CWE-434,Unsanitized user input in file upload statement,"Remove instances where a user input is ultimately used in a file upload statement, without any sanitization (based on a list of vetted sanitization functions, methods, procedures, stored procedures, sub-routines, etc.) of the user input value between the user input and the statement.  "
ASCSM-CWE-456,Uninitialized data element,"Remove instances where a variable, field, member, etc. is declared, then is evaluated without ever being initialized prior to the evaluation. "
ASCSM-CWE-606,Unchecked input in loop condition ,"Remove instances where a user input is ultimately used in the loop condition statement, without any range check between the user input and the loop statement. "
ASCSM-CWE-667,Improper locking of shared resources ,"Remove instances where the shared variable, field, member, etc., is accessed outside a critical section of the application."
ASCSM-CWE-672,Access to released or expired resources ,"Remove instances where the platform resource (messaging, lock, file, stream, etc.) is deallocated using its unique resource handler which is used later within the application to try and access the resource. "
ASCSM-CWE-681,Incompatible numeric type conversion ,"Remove instances where a variable, field, member, etc. is declared with a numeric type, and then is updated with a value from a second numeric type that is incompatible with the first numeric type "
ASCSM-CWE-772,Unreleased resource ,"Remove instances where a platform resource (CPU, messaging, lock, file, stream, etc.) is allocated and assigned a unique resource handler, and its unique resource handler is used throughout the application along a sequence of operations, but none of which is a release statement "
ASCSM-CWE-789,Unchecked range of user input to a buffer ,"Remove instances where a user input is ultimately used in a ‘Read’ or ‘Write’ access to a buffer, without any range check between the user input and the buffer access. "
ASCSM-CWE-798,Hard-coded credentials for remote resources,"Remove instances where a variable, field, member, etc., is initialized with a hard-coded literal value, and ultimately used to access a remote resource. "
ASCSM-CWE-835,Infinite recursion,"Remove instances where a recursive function, method, procedure, stored procedure, sub-routine, etc., has no execution path to exit the recursion "
ASCRM-CWE-120,Buffer overflow,Remove instances where the content of the first buffer is moved into the content of the second buffer while their allocated sizes are incompatible 
ASCRM-CWE-252-data,Unchecked return parameter from data handling operations ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. executes a CRUD SQL statement, yet the return code value of the action is not checked anywhere"
ASCRM-CWE-252-resource,Unchecked return parameter from resource handling operations ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. reads, writes, or manages an external resource, yet the return code value of the action is not checked anywhere "
ASCRM-CWE-396,Catch of overly broad exception types,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. contains a catch of an exception whose type is part of a list of overly broad exception types "
ASCRM-CWE-397,Throw of overly broad exception types,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. throws an exception whose type is part of a list of overly broad exception types"
ASCRM-CWE-456,Uninitialized data element ,"Remove instances where a variable, field, member, etc. is declared, then is evaluated without ever being initialized prior to the evaluation"
ASCRM-CWE-674,Recursion,Remove instances in which a control element initiates an execution path that contains itself 
ASCRM-CWE-704,Incompatible data type conversion ,"Remove instances where a variable, field, member, etc. is declared with a data type, and then is updated with a value from a second data type that is incompatible with the first data type "
ASCRM-CWE-772,Unreleased resource,"Remove instances where a platform resource (messaging, lock, file, stream, directory, etc.) is allocated and assigned a unique resource handler that is used throughout the application, but is never released "
ASCRM-CWE-788,Memory access after end of buffer,Remove instances where a value is used as an index in a ‘Read’ or ‘Write’ access to a buffer; yet none of the operations performed prior the buffer access check the value with regards to the buffer’s maximum size
ASCRM-RLB-1,Empty exception block ,"Remove instances where an exception handling block (such as catch and finally blocks) of a function, method, procedure, stored procedure, sub-routine, etc. does not contain any instruction"
ASCRM-RLB-2,Missing serialization control elemen,"Remove instances where a serializable field, member, etc. has no serialization operation.  Notes: * in the case of technologies with classes and interfaces, this means situations where the serializable field is from a class that implements a serializable interface but does not implement a serialization method as part of its list of methods * the serializable nature of an element is technology dependent, for example, serializable capabilities come from sources such as a serializable attribute in .NET and inheritance from the java.io.Serializable interface in Java"
ASCRM-RLB-3,Serialized data element containing non-serialized items,"Remove instances where a serializable field, member, etc. is composed of a non-serializable data element.  Notes: * in case of technologies with classes and interfaces, this means situations where the serializable field is from a class that is serializable but owns the non-serializable field  * the serializable nature of an element is technology dependent; for example, serializable capabilities come from sources such as a serializable attribute in .NET and inheritance from the java.io.Serializable interface in Jav"
ASCRM-RLB-4,Persistent data without proper comparison controls,"Remove instances where the persistent variable, field, member, etc. has no dedicated operation handling comparison operations.  Note:  • In case of technologies with classes, this means situations where a persistent field is from a class that is made persistent while it does not implement methods from the list of required comparison operations (a JAVA example is the list composed of {'hashCode()','equals()'} methods) "
ASCRM-RLB-5,Improper runtime resource management ,"Remove instances where an application is running on an application server, yet uses a low-level resource management API (I/O, sockets, class loaders, etc.) and not the resource management API offered by the application server "
ASCRM-RLB-6,Improper copy capabilities for data pointers ,"Remove instances where a variable, field, member, etc. contains a pointer but no dedicated copy operation or copy constructor "
ASCRM-RLB-7,Self-destruction,Remove instances where a class can self-destruct (an example of a self-destruction in C++ is 'delete this') 
ASCRM-RLB-8,Variadic parameters,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. has a variable number of parameters, thanks to the variadic parameter in its signature"
ASCRM-RLB-9,Improper equality comparisons of floattype numerical data,"Remove instances where the float values of a variable, field, member, etc.  are compared for equality using regular comparison operators (an example in JAVA, is the use of ‘= =’ or ‘!=’) "
ASCRM-RLB-10,Circumventing data access routines ,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. executes a data access outside of a dedicated data access component, thus circumventing the intended design for data access.  Notes: • the dedicated data access component can be either client-side or server-side, which means that data access components can be developed using non-SQL languages • if there is no dedicated data access component, every data access is a violation"
ASCRM-RLB-11,Non-final static data in a multi-threaded environment,"Remove instances where a function, method, procedure, stored procedure, sub-routine, etc. owns a non-final static variable, field, member, etc. while it operates in a multi-threaded environment "
ASCRM-RLB-12,Improper locking of singleton classes,Remove instances where a singleton class is instantiated without any prior locking mechanism being activated 
ASCRM-RLB-13,Cyclic dependencies,"Remove instances where a module has references that cycle back to itself, e.g., the existence of cycles between packages in JAVA "
